sender_id,sender_name,sender_logo
IDRSNB,THE IDAR NAGRIK SAHAKARI BANK LTD.,
IMAHYD,STATE BANK OF INDIA,sbi_logo
IMCOBK,The Ichalkaranji Merchants Co Op Bank Limited,
IMSBNK,Indira Mahila Sahakari Bank Ltd,
INBUPI,Indian Bank,
INDBNK,Indian Bank,
INDUSA,INDUSIND BANK LIMITED,
INDUSB,INDUSIND BANK LIMITED,
INDUSO,INDUSIND BANK LIMITED,
INTBNK,INTEGRAL URBAN CO OPERATIVE BANK,
IOBANK,INDIAN OVERSEAS BANK,iob_logo
IOBATM,INDIAN OVERSEAS BANK,iob_logo
IOBBNK,INDIAN OVERSEAS BANK,iob_logo
IOBBQR,INDIAN OVERSEAS BANK,iob_logo
IOBCHN,INDIAN OVERSEAS BANK,iob_logo
IOBHRD,INDIAN OVERSEAS BANK,iob_logo
IOBJLS,INDIAN OVERSEAS BANK,iob_logo
IOBMKT,INDIAN OVERSEAS BANK,iob_logo
IOBOTP,INDIAN OVERSEAS BANK,iob_logo
IPBCOM,India Post Payments Bank Ltd,
IPBKYC,India Post Payments Bank Ltd,
IPBMSG,India Post Payments Bank Ltd,
IPBOFR,India Post Payments Bank Ltd,
IPBOTP,India Post Payments Bank Ltd,
IPBSEC,India Post Payments Bank Ltd,
IPCBBK,Indore Premier Cooperative Bank,
IPCBNK,Indore Premier Cooperative Bank,
IPSBNK,Indore Paraspar Sahakari Bank Limited,
IPSHOI,Indore Paraspar Sahakari Bank Limited,
IPSHOT,Indore Paraspar Sahakari Bank Limited,
ISBANK,INDRAPRASTHA SEHKARI BANK LTD,
ISDSBI,STATE BANK OF INDIA,sbi_logo
